0:0:0:0:0:0:0:1 - - [09/Feb/2022:17:59:52 +0900] "GET /03_jsp/ch08_board_model1/list.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [09/Feb/2022:17:59:54 +0900] "GET /03_jsp/ch08_board_model1/deletePro.jsp?num=1&pw2222 HTTP/1.1" 500 4691
0:0:0:0:0:0:0:1 - - [09/Feb/2022:18:01:21 +0900] "GET /03_jsp/ch08_board_model1/list.jsp HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [09/Feb/2022:18:01:23 +0900] "GET /03_jsp/ch08_board_model1/deletePro.jsp?num=1&pw=2222 HTTP/1.1" 500 4695
0:0:0:0:0:0:0:1 - - [09/Feb/2022:18:01:47 +0900] "GET /03_jsp/ch08_board_model1/list.jsp HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [09/Feb/2022:18:01:48 +0900] "GET /03_jsp/ch08_board_model1/deletePro.jsp?num=1&pw=2222 HTTP/1.1" 500 4695
0:0:0:0:0:0:0:1 - - [09/Feb/2022:18:02:48 +0900] "GET /03_jsp/ch08_board_model1/deletePro.jsp?num=1&pw=2222 HTTP/1.1" 500 4695
0:0:0:0:0:0:0:1 - - [09/Feb/2022:18:04:43 +0900] "GET /03_jsp/ch08_board_model1/list.jsp HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [09/Feb/2022:18:04:44 +0900] "GET /03_jsp/ch08_board_model1/deletePro.jsp?num=1&pw=2222 HTTP/1.1" 500 4613
0:0:0:0:0:0:0:1 - - [09/Feb/2022:18:04:51 +0900] "GET /03_jsp/ch08_board_model1/list.jsp HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [09/Feb/2022:18:06:57 +0900] "GET /03_jsp/ch08_board_model1/deletePro.jsp?num=2&pw=1111 HTTP/1.1" 500 4613
0:0:0:0:0:0:0:1 - - [09/Feb/2022:18:09:09 +0900] "GET /03_jsp/ch08_board_model1/list.jsp HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [09/Feb/2022:18:09:11 +0900] "GET /03_jsp/ch08_board_model1/deletePro.jsp?num=1&pw=2222 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2022:18:09:11 +0900] "GET /03_jsp/ch08_board_model1/list.jsp HTTP/1.1" 200 1660
